N,nworkers,policy,tileSize,chunkSize,time,checksum
2000,24,3,4,128,1773.25,435143
2000,24,3,8,32,255.691,435143
2000,24,3,8,64,246.082,435143
2000,24,3,8,128,237.188,435143
2000,32,3,1,32,343.129,435143
2000,32,3,1,64,2956.11,435143
2000,32,3,1,128,325.212,435143
2000,32,3,4,32,1792.71,435143
2000,32,3,4,64,229.865,435143
2000,32,3,4,128,1791.06,435143
2000,32,3,8,32,223.788,435143
2000,32,3,8,64,998.619,435143
2000,32,3,8,128,230.778,435143
3000,1,0,1,1,10765.4,974046
3000,1,0,4,1,8868.6,974046
3000,1,0,8,1,7408.37,974046
3000,1,1,1,1,8894.61,974046
3000,1,1,4,1,7326.57,974046
3000,1,1,8,1,6176.81,974046
3000,2,1,1,1,3777.33,974046
3000,2,1,4,1,7315.11,974046
3000,2,1,8,1,3461.06,974046
3000,4,1,1,1,1731.27,974046
3000,4,1,4,1,1649.7,974046
3000,4,1,8,1,1751.64,974046
3000,6,1,1,1,1445.5,974046
3000,6,1,4,1,3207.44,974046
3000,6,1,8,1,2599.45,974046
3000,8,1,1,1,1120.48,974046
3000,8,1,4,1,2628.44,974046
3000,8,1,8,1,916.383,974046
3000,10,1,1,1,2735.22,974046
3000,10,1,4,1,2446.07,974046
3000,10,1,8,1,1576.41,974046
3000,12,1,1,1,3044.06,974046
3000,12,1,4,1,2749.45,974046
3000,12,1,8,1,623.49,974046
3000,14,1,1,1,8323.75,974046
3000,14,1,4,1,1903.14,974046
3000,14,1,8,1,502.432,974046
3000,16,1,1,1,8420.5,974046
3000,16,1,4,1,1244.88,974046
3000,16,1,8,1,1564.44,974046
3000,24,1,1,1,994.607,974046
3000,24,1,4,1,2135.34,974046
3000,24,1,8,1,1288.61,974046
3000,32,1,1,1,7846.4,974046
3000,32,1,4,1,2503.23,974046
3000,32,1,8,1,1693.92,974046
3000,1,2,1,1,9089.23,974046
3000,1,2,4,1,6966.59,974046
3000,1,2,8,1,6427.38,974046
3000,2,2,1,1,3798.18,974046
3000,2,2,4,1,3251.65,974046
3000,2,2,8,1,3538.32,974046
3000,4,2,1,1,4046.33,974046
3000,4,2,4,1,3713.14,974046
3000,4,2,8,1,1643.08,974046
3000,6,2,1,1,5629.36,974046
3000,6,2,4,1,3472.27,974046
3000,6,2,8,1,1343.42,974046
3000,8,2,1,1,3750.81,974046
3000,8,2,4,1,2308.83,974046
3000,8,2,8,1,858.956,974046
3000,10,2,1,1,7442.83,974046
3000,10,2,4,1,2358.49,974046
3000,10,2,8,1,1759.53,974046
3000,12,2,1,1,2494.28,974046
3000,12,2,4,1,2765.73,974046
3000,12,2,8,1,1257.03,974046
3000,14,2,1,1,1753.71,974046
3000,14,2,4,1,1322.55,974046
3000,14,2,8,1,588.323,974046
3000,16,2,1,1,1461.8,974046
3000,16,2,4,1,2049.45,974046
3000,16,2,8,1,1326.57,974046
3000,24,2,1,1,9055.81,974046
3000,24,2,4,1,2437.57,974046
3000,24,2,8,1,1588.11,974046
3000,32,2,1,1,9198.31,974046
3000,32,2,4,1,672.368,974046
3000,32,2,8,1,857.596,974046
3000,1,3,1,32,11059.1,974046
3000,1,3,1,64,12950.2,974046
3000,1,3,1,128,10225.5,974046
3000,1,3,4,32,6499.04,974046
3000,1,3,4,64,7113.3,974046
3000,1,3,4,128,6953.52,974046
3000,1,3,8,32,6900.64,974046
3000,1,3,8,64,8622.89,974046
3000,1,3,8,128,7979.49,974046
3000,2,3,1,32,5759.01,974046
3000,2,3,1,64,8690.47,974046
3000,2,3,1,128,9532.1,974046
3000,2,3,4,32,7379.96,974046
3000,2,3,4,64,6256.46,974046
3000,2,3,4,128,6426.14,974046
3000,2,3,8,32,4875.66,974046
3000,2,3,8,64,6406.94,974046
3000,2,3,8,128,4501.52,974046
3000,4,3,1,32,4760.15,974046
3000,4,3,1,64,7405.35,974046
3000,4,3,1,128,4014.27,974046
3000,4,3,4,32,4281.52,974046
3000,4,3,4,64,4585.42,974046
3000,4,3,4,128,3837.25,974046
3000,4,3,8,32,4211.79,974046
3000,4,3,8,64,2308.01,974046
3000,4,3,8,128,4287.27,974046
3000,6,3,1,32,1646.87,974046
3000,6,3,1,64,5688.82,974046
3000,6,3,1,128,1476.51,974046
3000,6,3,4,32,3777.11,974046
3000,6,3,4,64,2849.67,974046
3000,6,3,4,128,2943.62,974046
3000,6,3,8,32,1380.35,974046
3000,6,3,8,64,1581.77,974046
3000,6,3,8,128,2591.62,974046
3000,8,3,1,32,3463.27,974046
3000,8,3,1,64,4735.35,974046
3000,8,3,1,128,3411.4,974046
3000,8,3,4,32,3710.69,974046
3000,8,3,4,64,2108.56,974046
3000,8,3,4,128,2395.22,974046
