N,nworkers,policy,tileSize,chunkSize,time
2000,14,3,4,32,262.712
2000,14,3,4,64,263.902
2000,14,3,4,128,262.622
2000,14,3,8,32,258.504
2000,14,3,8,64,257.894
2000,14,3,8,128,259.391
2000,14,3,16,32,272.25
2000,14,3,16,64,272.863
2000,14,3,16,128,274.44
2000,16,1,1,1,342.226
2000,16,1,4,1,246.37
2000,16,1,8,1,240.522
2000,16,1,16,1,255.469
2000,16,2,1,1,354.005
2000,16,2,4,1,245.535
2000,16,2,8,1,240.793
2000,16,2,16,1,255.562
2000,16,3,1,32,360.283
2000,16,3,1,64,347.088
2000,16,3,1,128,343.808
2000,16,3,4,32,248.938
2000,16,3,4,64,247.011
2000,16,3,4,128,246.272
2000,16,3,8,32,241.217
2000,16,3,8,64,241.888
2000,16,3,8,128,240.206
2000,16,3,16,32,255.52
2000,16,3,16,64,255.342
2000,16,3,16,128,256.422
4000,1,0,1,1,59281.5
4000,2,1,1,1,28264
4000,2,1,4,1,26478
4000,2,1,8,1,26406
4000,2,1,16,1,26190.6
4000,2,2,1,1,29477.8
4000,2,2,4,1,26551.6
4000,2,2,8,1,26388.3
4000,2,2,16,1,26249.4
4000,2,3,1,32,28260.9
4000,2,3,1,64,28478.7
4000,2,3,1,128,28941.8
4000,2,3,4,32,26526.4
4000,2,3,4,64,26477.4
4000,2,3,4,128,27172
4000,2,3,8,32,26209.9
4000,2,3,8,64,26140.1
4000,2,3,8,128,26106.6
4000,2,3,16,32,28778.8
4000,2,3,16,64,26250
4000,2,3,16,128,26120.3
4000,4,1,1,1,15516.5
4000,4,1,4,1,13328
4000,4,1,8,1,13287.8
4000,4,1,16,1,13300.8
4000,4,2,1,1,15968.6
4000,4,2,4,1,13372
4000,4,2,8,1,13209.3
4000,4,2,16,1,13151.8
4000,4,3,1,32,15273.7
4000,4,3,1,64,15011.7
4000,4,3,1,128,15133.1
4000,4,3,4,32,13415.2
4000,4,3,4,64,13448.2
4000,4,3,4,128,13404.3
4000,4,3,8,32,13380
4000,4,3,8,64,13395.4
4000,4,3,8,128,13174.4
4000,4,3,16,32,13249.4
4000,4,3,16,64,13325.6
4000,4,3,16,128,13298.6
4000,6,1,1,1,9658.77
4000,6,1,4,1,9020.53
4000,6,1,8,1,8981.16
4000,6,1,16,1,9045.09
4000,6,2,1,1,9728.74
4000,6,2,4,1,8990.2
4000,6,2,8,1,8957.53
4000,6,2,16,1,9074.81
4000,6,3,1,32,9700.9
4000,6,3,1,64,9835.16
4000,6,3,1,128,9770.05
4000,6,3,4,32,8950.8
4000,6,3,4,64,8964.16
4000,6,3,4,128,8978.5
4000,6,3,8,32,8970.26
4000,6,3,8,64,8942.12
4000,6,3,8,128,8992.66
4000,6,3,16,32,9067.3
4000,6,3,16,64,9053.61
4000,6,3,16,128,8983.81
4000,8,1,1,1,7176.54
4000,8,1,4,1,6773.87
4000,8,1,8,1,6776.72
4000,8,1,16,1,6907.64
4000,8,2,1,1,7128.45
4000,8,2,4,1,6799.53
4000,8,2,8,1,6787.68
4000,8,2,16,1,6865.98
4000,8,3,1,32,7134.79
4000,8,3,1,64,7174.73
